EntityType,Metric,Tên chỉ tiêu,Nguồn ưu tiên,Cách lấy,Alias/Công thức
COMMON,TotalAssets,Tổng tài sản,BS,DIRECT,total assets|assets
COMMON,Equity,Vốn chủ sở hữu,BS,DIRECT,owners equity|total equity|equity attributable
COMMON,Revenue,Doanh thu,IS,DIRECT,revenue|net revenue|sales
COMMON,NPAT,Lợi nhuận sau thuế,IS,DIRECT,net profit after tax|profit after tax|net income
COMMON,EBITDA,EBITDA,IS,DIRECT_OR_DERIVED,ebitda
COMMON,CFO,Dòng tiền HĐKD,CF,DIRECT,cash flow from operating activities|net cash flow from operating activities
COMMON,Capex,CAPEX,CF,DIRECT,purchase of fixed assets|purchase of property plant equipment|capital expenditure
COMMON,InterestExpense,Chi phí lãi vay,IS,DIRECT,interest expense|finance interest expense|borrowing interest expense
COMMON,TaxExpense,Chi phí thuế TNDN,IS,DIRECT,income tax expense|corporate income tax expense
COMMON,Depreciation,Khấu hao,CF/IS,DIRECT,depreciation and amortisation|depreciation and amortization|depreciation
COMMON,GrossProfit,Lợi nhuận gộp,IS,DIRECT,gross profit
COMMON,OperatingProfit,Lợi nhuận hoạt động,IS,DIRECT,operating profit|ebit
COMMON,CurrentAssets,Tài sản ngắn hạn,BS,DIRECT,current assets
COMMON,CurrentLiabilities,Nợ ngắn hạn,BS,DIRECT,current liabilities
COMMON,TotalDebt,Nợ vay tài chính,BS,DIRECT,total debt|borrowings|interest bearing debt|loans and borrowings
CORPORATE,FFO,FFO,DERIVED,DERIVED,EBITDA - cash interest - cash tax
CORPORATE,FOCF,FOCF,DERIVED,DERIVED,CFO - CAPEX
CORPORATE,DCF,DCF,DERIVED,DERIVED,FOCF - dividends
CORPORATE,InterestCoverage,EBITDA/Lãi vay,DERIVED,DERIVED,EBITDA / InterestExpense
CORPORATE,FFO_Debt,FFO/Nợ vay,DERIVED,DERIVED,FFO / TotalDebt
CORPORATE,FOCF_Debt,FOCF/Nợ vay,DERIVED,DERIVED,FOCF / TotalDebt
CORPORATE,DebtEBITDA,Nợ vay/EBITDA,DERIVED,DERIVED,TotalDebt / EBITDA
SECURITIES,AvailableCapitalRatio,Tỷ lệ an toàn vốn khả dụng,MANUAL/PUBLIC,MANUAL_FALLBACK,available capital ratio
SECURITIES,MarketShareBrokerage,Thị phần môi giới,MANUAL/PUBLIC,MANUAL_FALLBACK,brokerage market share
SECURITIES,ClientAssets,Tài sản/tiền gửi khách hàng,MANUAL/PUBLIC,MANUAL_FALLBACK,client assets
SECURITIES,MarginLoans,Dư nợ cho vay ký quỹ,BS/MANUAL,DIRECT_OR_MANUAL,margin loans|receivables from margin activities
SECURITIES,MarginLoansEquity,Cho vay ký quỹ/VCSH,DERIVED,DERIVED,MarginLoans / Equity
SECURITIES,ICGR,Tỷ lệ tạo vốn nội bộ,MANUAL/DERIVED,DIRECT_OR_MANUAL,retained earnings / charter capital
SECURITIES,BrokerageRevenue,Doanh thu môi giới,IS,DIRECT,brokerage revenue|revenue from brokerage
SECURITIES,TradingRevenue,Doanh thu tự doanh,IS,DIRECT,trading income|gain from financial assets at fvtpl
SECURITIES,MarginInterestRevenue,Doanh thu cho vay margin,IS,DIRECT,margin lending interest|interest from margin loans
BANK,CAR,Hệ số an toàn vốn,BANK_PIPELINE,DIRECT,capital adequacy ratio
BANK,NPL,Tỷ lệ nợ xấu,BANK_PIPELINE,DIRECT,non performing loan ratio
BANK,LLR,Tỷ lệ bao phủ nợ xấu,BANK_PIPELINE,DIRECT,loan loss reserve coverage
BANK,CASA,CASA,BANK_PIPELINE,DIRECT_OR_DERIVED,demand deposits / customer deposits
BANK,LDR,LDR,BANK_PIPELINE,DIRECT_OR_DERIVED,gross loans / customer deposits
BANK,CIR,CIR,BANK_PIPELINE,DIRECT_OR_DERIVED,operating expenses / operating income
BANK,NIM,NIM,BANK_PIPELINE,DIRECT,net interest margin
