Sector,MacroIndustryRisk,BusinessRisk,FinancialRisk,GovernanceRisk,SourceType
DEFAULT,0.20,0.30,0.35,0.15,METHODOLOGY_FRAMEWORK
Thép,0.20,0.30,0.35,0.15,PLACEHOLDER_TO_BE_KCF_CALIBRATED
Bất động sản,0.20,0.30,0.35,0.15,PLACEHOLDER_TO_BE_KCF_CALIBRATED
Điện,0.20,0.30,0.35,0.15,PLACEHOLDER_TO_BE_KCF_CALIBRATED
Dầu khí,0.20,0.30,0.35,0.15,PLACEHOLDER_TO_BE_KCF_CALIBRATED
Bán lẻ,0.20,0.30,0.35,0.15,PLACEHOLDER_TO_BE_KCF_CALIBRATED
Công nghệ,0.20,0.30,0.35,0.15,PLACEHOLDER_TO_BE_KCF_CALIBRATED
Logistics,0.20,0.30,0.35,0.15,PLACEHOLDER_TO_BE_KCF_CALIBRATED
Thực phẩm,0.20,0.30,0.35,0.15,PLACEHOLDER_TO_BE_KCF_CALIBRATED
Hóa chất,0.20,0.30,0.35,0.15,PLACEHOLDER_TO_BE_KCF_CALIBRATED
Xây dựng,0.20,0.30,0.35,0.15,PLACEHOLDER_TO_BE_KCF_CALIBRATED
Hạ tầng,0.20,0.30,0.35,0.15,PLACEHOLDER_TO_BE_KCF_CALIBRATED
