Ticker,Sector,Template,Score,View,Conclusion
ABB,Ngân hàng,Ngân hàng,-1,TRUNG LẬP,"Quan điểm định lượng tổng hợp: TRUNG LẬP. Giá trị tham chiếu của engine chênh khoảng -17,4% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
ACB,Ngân hàng,Ngân hàng,-10,THẬN TRỌNG,"Quan điểm định lượng tổng hợp: THẬN TRỌNG. Giá trị tham chiếu của engine chênh khoảng 0,0% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
BAB,Ngân hàng,Ngân hàng,-2,TRUNG LẬP,"Quan điểm định lượng tổng hợp: TRUNG LẬP. Giá trị tham chiếu của engine chênh khoảng 12,0% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
BID,Ngân hàng,Ngân hàng,-2,TRUNG LẬP,"Quan điểm định lượng tổng hợp: TRUNG LẬP. Giá trị tham chiếu của engine chênh khoảng -11,3% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
BVB,Ngân hàng,Ngân hàng,-6,THẬN TRỌNG,"Quan điểm định lượng tổng hợp: THẬN TRỌNG. Giá trị tham chiếu của engine chênh khoảng 1,8% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
CTG,Ngân hàng,Ngân hàng,9,TÍCH CỰC,"Quan điểm định lượng tổng hợp: TÍCH CỰC. Giá trị tham chiếu của engine chênh khoảng 8,1% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
EIB,Ngân hàng,Ngân hàng,-6,THẬN TRỌNG,"Quan điểm định lượng tổng hợp: THẬN TRỌNG. Giá trị tham chiếu của engine chênh khoảng -12,8% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
HDB,Ngân hàng,Ngân hàng,-1,TRUNG LẬP,"Quan điểm định lượng tổng hợp: TRUNG LẬP. Giá trị tham chiếu của engine chênh khoảng -23,2% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
KLB,Ngân hàng,Ngân hàng,11,TÍCH CỰC,"Quan điểm định lượng tổng hợp: TÍCH CỰC. Giá trị tham chiếu của engine chênh khoảng 0,0% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
LPB,Ngân hàng,Ngân hàng,1,TRUNG LẬP,"Quan điểm định lượng tổng hợp: TRUNG LẬP. Giá trị tham chiếu của engine chênh khoảng -63,7% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
MBB,Ngân hàng,Ngân hàng,13,TÍCH CỰC,"Quan điểm định lượng tổng hợp: TÍCH CỰC. Giá trị tham chiếu của engine chênh khoảng -0,0% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
MSB,Ngân hàng,Ngân hàng,0,TRUNG LẬP,"Quan điểm định lượng tổng hợp: TRUNG LẬP. Giá trị tham chiếu của engine chênh khoảng 6,4% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
NAB,Ngân hàng,Ngân hàng,-6,THẬN TRỌNG,"Quan điểm định lượng tổng hợp: THẬN TRỌNG. Giá trị tham chiếu của engine chênh khoảng 13,5% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
NVB,Ngân hàng,Ngân hàng,-11,THẬN TRỌNG,"Quan điểm định lượng tổng hợp: THẬN TRỌNG. Giá trị tham chiếu của engine chênh khoảng -31,5% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
OCB,Ngân hàng,Ngân hàng,0,TRUNG LẬP,"Quan điểm định lượng tổng hợp: TRUNG LẬP. Giá trị tham chiếu của engine chênh khoảng 15,0% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
PCB,Ngân hàng,Ngân hàng,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
PGB,Ngân hàng,Ngân hàng,-16,THẬN TRỌNG,"Quan điểm định lượng tổng hợp: THẬN TRỌNG. Giá trị tham chiếu của engine chênh khoảng 20,5% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
SGB,Ngân hàng,Ngân hàng,-17,THẬN TRỌNG,"Quan điểm định lượng tổng hợp: THẬN TRỌNG. Giá trị tham chiếu của engine chênh khoảng -6,3% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
SHB,Ngân hàng,Ngân hàng,-7,THẬN TRỌNG,"Quan điểm định lượng tổng hợp: THẬN TRỌNG. Giá trị tham chiếu của engine chênh khoảng 74,5% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
SSB,Ngân hàng,Ngân hàng,-5,THẬN TRỌNG,"Quan điểm định lượng tổng hợp: THẬN TRỌNG. Giá trị tham chiếu của engine chênh khoảng -22,8% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
STB,Ngân hàng,Ngân hàng,-9,THẬN TRỌNG,"Quan điểm định lượng tổng hợp: THẬN TRỌNG. Giá trị tham chiếu của engine chênh khoảng -44,7% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
TCB,Ngân hàng,Ngân hàng,7,TÍCH CỰC,"Quan điểm định lượng tổng hợp: TÍCH CỰC. Giá trị tham chiếu của engine chênh khoảng -7,7% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
TPB,Ngân hàng,Ngân hàng,-5,THẬN TRỌNG,"Quan điểm định lượng tổng hợp: THẬN TRỌNG. Giá trị tham chiếu của engine chênh khoảng 21,6% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
VAB,Ngân hàng,Ngân hàng,1,TRUNG LẬP,"Quan điểm định lượng tổng hợp: TRUNG LẬP. Giá trị tham chiếu của engine chênh khoảng 27,4% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
VBB,Ngân hàng,Ngân hàng,8,TÍCH CỰC,"Quan điểm định lượng tổng hợp: TÍCH CỰC. Giá trị tham chiếu của engine chênh khoảng -3,7% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
VCB,Ngân hàng,Ngân hàng,7,TÍCH CỰC,"Quan điểm định lượng tổng hợp: TÍCH CỰC. Giá trị tham chiếu của engine chênh khoảng -34,7% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
VIB,Ngân hàng,Ngân hàng,0,TRUNG LẬP,"Quan điểm định lượng tổng hợp: TRUNG LẬP. Giá trị tham chiếu của engine chênh khoảng 15,0% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
VPB,Ngân hàng,Ngân hàng,13,TÍCH CỰC,"Quan điểm định lượng tổng hợp: TÍCH CỰC. Giá trị tham chiếu của engine chênh khoảng 0,0% so với thị giá; đây là kết quả mô hình, không phải khuyến nghị mua/bán."
BPW,Chưa phân loại,Doanh nghiệp phi tài chính,0,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CT5,Chưa phân loại,Doanh nghiệp phi tài chính,0,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
DKH,Chưa phân loại,Doanh nghiệp phi tài chính,0,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
DPD,Chưa phân loại,Doanh nghiệp phi tài chính,0,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
HGA,Chưa phân loại,Doanh nghiệp phi tài chính,0,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
HGC,Chưa phân loại,Doanh nghiệp phi tài chính,0,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
HRT,Chưa phân loại,Doanh nghiệp phi tài chính,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
IPH,Chưa phân loại,Doanh nghiệp phi tài chính,0,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
MXC,Chưa phân loại,Doanh nghiệp phi tài chính,0,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
PYU,Chưa phân loại,Doanh nghiệp phi tài chính,0,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
SRT,Chưa phân loại,Doanh nghiệp phi tài chính,2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
T12,Chưa phân loại,Doanh nghiệp phi tài chính,0,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
TAC,Chưa phân loại,Doanh nghiệp phi tài chính,0,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
TC6,Chưa phân loại,Doanh nghiệp phi tài chính,0,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
TDN,Chưa phân loại,Doanh nghiệp phi tài chính,0,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
TS5,Chưa phân loại,Doanh nghiệp phi tài chính,0,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
ABR,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
ACC,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
ACE,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
ACS,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
ACV,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
ADP,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
AGE,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
ALC,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
ALV,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
AME,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
AMS,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
APH,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
APL,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
ARM,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
ASG,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
ATB,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
B82,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BAL,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BAX,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BBH,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BBS,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BCC,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BCE,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BCO,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BCR,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BDT,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BHC,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BHT,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BLU,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BMD,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BMK,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BMN,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
